Area Name,Area ID,Normalised Name,Region Name,Region ID,Location Type,Online,Status
Moerewa,AREA-LINZ-2287,moerewa,Northland Region,01,Suburb,false,Canonical
Morningside,AREA-LINZ-2844,morningside,Northland Region,01,Suburb,false,Canonical
Motatau,AREA-LINZ-967,motatau,Northland Region,01,Rural locality,false,Canonical
Ngararatunua,AREA-LINZ-1031,ngararatunua,Northland Region,01,Rural locality,false,Canonical
Ngataki,AREA-LINZ-2799,ngataki,Northland Region,01,Rural locality,false,Canonical
Ngawha Springs,AREA-LINZ-1038,ngawha springs,Northland Region,01,Rural locality,false,Canonical
Ngunguru,AREA-LINZ-2828,ngunguru,Northland Region,01,Rural locality,false,Canonical
Nukutawhiti,AREA-LINZ-1068,nukutawhiti,Northland Region,01,Rural locality,false,Canonical
Oakleigh,AREA-LINZ-2850,oakleigh,Northland Region,01,Suburb,false,Canonical
Ōakura,AREA-LINZ-2829,oakura,Northland Region,01,Rural locality,false,Canonical
Ōhaeawai,AREA-LINZ-4015,ohaeawai,Northland Region,01,Rural locality,false,Canonical
Ōkaihau,AREA-LINZ-4016,okaihau,Northland Region,01,Rural locality,false,Canonical
Okiato,AREA-LINZ-2820,okiato,Northland Region,01,Suburb,false,Canonical
Omamari,AREA-LINZ-2776,omamari,Northland Region,01,Rural locality,false,Canonical
Omana,AREA-LINZ-1100,omana,Northland Region,01,Rural locality,false,Canonical
Omanaia,AREA-LINZ-2781,omanaia,Northland Region,01,Rural locality,false,Canonical
Ōmāpere,AREA-LINZ-2771,omapere,Northland Region,01,Rural locality,false,Canonical
One Tree Point,AREA-LINZ-8760,one tree point,Northland Region,01,Suburb,false,Canonical
Onerahi,AREA-LINZ-2838,onerahi,Northland Region,01,Suburb,false,Canonical
Opononi,AREA-LINZ-2774,opononi,Northland Region,01,Rural locality,false,Canonical
Opua,AREA-LINZ-2821,opua,Northland Region,01,Suburb,false,Canonical
Opuawhanga,AREA-LINZ-1122,opuawhanga,Northland Region,01,Rural locality,false,Canonical
Oromahoe,AREA-LINZ-1137,oromahoe,Northland Region,01,Rural locality,false,Canonical
Oruawharo,AREA-LINZ-2759,oruawharo,Northland Region,01,Rural locality,false,Canonical
Otaika,AREA-LINZ-2846,otaika,Northland Region,01,Suburb,false,Canonical
Otangarei,AREA-LINZ-1153,otangarei,Northland Region,01,Suburb,false,Canonical
Ōtaua,AREA-LINZ-1160,otaua,Northland Region,01,Rural locality,false,Canonical
Oue,AREA-LINZ-2780,oue,Northland Region,01,Rural locality,false,Canonical
Pahi,AREA-LINZ-2965,pahi,Northland Region,01,Rural locality,false,Canonical
Paihia,AREA-LINZ-2815,paihia,Northland Region,01,Suburb,false,Canonical
Pakaraka,AREA-LINZ-2416,pakaraka,Northland Region,01,Rural locality,false,Canonical
Pakotai,AREA-LINZ-1188,pakotai,Northland Region,01,Rural locality,false,Canonical
Panguru,AREA-LINZ-2787,panguru,Northland Region,01,Rural locality,false,Canonical
Paparoa,AREA-LINZ-2766,paparoa,Northland Region,01,Rural locality,false,Canonical
Paparore,AREA-LINZ-2802,paparore,Northland Region,01,Rural locality,false,Canonical
Parahaki,AREA-LINZ-2842,parahaki,Northland Region,01,Suburb,false,Canonical
Parakao,AREA-LINZ-1208,parakao,Northland Region,01,Rural locality,false,Canonical
Parekura Bay,AREA-LINZ-2816,parekura bay,Northland Region,01,Rural locality,false,Canonical
Parore,AREA-LINZ-1223,parore,Northland Region,01,Rural locality,false,Canonical
Parua Bay,AREA-LINZ-2837,parua bay,Northland Region,01,Rural locality,false,Canonical
Pataua North,AREA-LINZ-8911,pataua north,Northland Region,01,Rural locality,false,Canonical
Pataua South,AREA-LINZ-8912,pataua south,Northland Region,01,Rural locality,false,Canonical
